source,target,value
testicle,self,2
testicle,penis,22
testicle,rectum,1
testicle,erection,8
testicle,condom,2
testicle,pressure,5
testicle,head,3
testicle,urethra,2
testicle,pain,48
testicle,movement,7
testicle,urination,8
testicle,walking,3
testicle,lump,8
testicle,stomach,2
testicle,soda,1
testicle,drinking,1
testicle,ejaculation,10
testicle,rash,4
testicle,leg,4
testicle,anus,7
testicle,surgery,11
testicle,stitches,2
testicle,scrotum,10
testicle,vein,5
testicle,family,1
testicle,swelling,12
testicle,diarrhea,2
testicle,kidney,1
testicle,foreskin,1
testicle,circumcision,1
testicle,abdominal,1
testicle,hernia,6
testicle,syphilis,1
testicle,cancer,8
testicle,masturbation,10
testicle,vision,6
testicle,cough,1
testicle,burn,3
testicle,pea,3
testicle,kidney,1
testicle,peanut,1
testicle,insurance,1
testicle,eyes,1
testicle,sexual,2
testicle,testosterone,5
testicle,acetaminophen,1
testicle,ultrasound,6
testicle,protein,1
testicle,skin,3
testicle,fertility,3
testicle,blister,1
testicle,herpes,1
testicle,thigh,2
testicle,constipation,1
testicle,boil,1
testicle,anal,1
testicle,supplement,2
testicle,weight,1
testicle,stress,1
testicle,physical,1
testicle,worm,1
testicle,baby,3
testicle,undescended,2
testicle,sperm,4
testicle,puberty,1
testicle,hair,1
testicle,varicocele,3
testicle,coldness,1
testicle,abstinence,1
testicle,prostate,2
testicle,sexually,1
testicle,heat,1
testicle,epididymitis,3
testicle,injury,1
testicle,bruise,5
testicle,fear,3
testicle,anxiety,2
testicle,antibiotic,1
testicle,anti,1
testicle,vasectomy,4
testicle,running,1
testicle,tenderness,2
testicle,testicular,1
testicle,pelvic,1
testicle,staph,1
testicle,nerve,2
testicle,finger,1
testicle,wart,1
testicle,testicular,3
testicle,dizziness,1
testicle,belly,1
testicle,ovary,1
testicle,bowel,1
testicle,infertility,2
testicle,exercise,3
testicle,tightness,1
testicle,trauma,1
testicle,itch,3
testicle,pregnancy,1
testicle,palpation,1
testicle,wound,1
testicle,prostate,2
testicle,typhoid,1
testicle,stem,1
testicle,transplant,1
testicle,pelvis,1
testicle,fracture,1
testicle,jock,1
testicle,hand,2
testicle,muscle,2
testicle,erectile,1
testicle,spasm,1
testicle,mumps,1
testicle,tumor,1
testicle,spine,1
testicle,liver,1
testicle,healing,1
