period,4
drug,5
emergency,1
pain,14
sexual,25
prostate,2
erectile,10
smoking,8
choking,1
penis,46
condom,5
rectum,1
testicle,8
impotence,2
masturbation,22
weakness,6
ejaculation,30
antibiotic,1
skin,3
genitalia,1
head,9
drinking,4
tobacco,1
kidney,1
antidepressant,2
premature,1
corpulence,3
breast,1
armpit,1
hair,1
medicare,1
menopause,1
orgasm,7
anxiety,3
heart,4
pressure,2
vision,7
high,3
vagina,2
hand,2
bruise,2
healing,1
muscle,2
short,4
pregnancy,3
ovary,1
urination,3
delayed,2
supplement,2
testosterone,5
weight,4
electrocardiogram,1
food,1
foot,1
circumcision,1
attention,1
clitoris,3
injection,2
shoulder,1
plaque,1
injury,2
cervical,1
surgery,3
constipation,1
bowel,1
skull,1
eyes,1
smell,1
stress,7
fracture,1
trauma,1
depression,1
self,1
testicular,3
tightness,3
libido,3
hernia,1
infusion,1
sexual,1
high,1
sperm,4
dehydration,1
sexually,1
workout,1
blood,2
scrotum,1
fear,2
swelling,3
stroke,2
vein,2
herniated,1
leg,1
hemorrhoid,1
massage,1
prostate,1
rash,1
shingles,1
tenderness,1
blister,1
infertility,1
varicocele,1
movement,1
marijuana,1
indigestion,1
family,2
belly,1
allergy,1
blood,1
artery,1
wound,1
catheter,1
